Activity,Frequency,Relative frequency
aanname laboratoriumonderzoek,"15,353",10.22 %
ligdagen - alle spec.beh.kinderg.-reval.,"10,897",7.25 %
190205 klasse 3b        a205,"9,351",6.22 %
ordertarief,"9,008",5.99 %
190101 bovenreg.toesl.  a101,"6,241",4.15 %
vervolgconsult poliklinisch,"5,239",3.49 %
kalium potentiometrisch,"4,328",2.88 %
natrium vlamfotometrisch,"4,304",2.86 %
hemoglobine foto-elektrisch,"4,275",2.84 %
creatinine,"3,955",2.63 %
leukocyten tellen elektronisch,"2,968",1.97 %
trombocyten tellen - elektronisch,"2,724",1.81 %
differentiele telling automatisch,"2,370",1.58 %
administratief tarief       - eerste pol,"2,171",1.44 %
190021 klinische opname a002,"2,118",1.41 %
calcium,"2,042",1.36 %
glucose,"1,950",1.3 %
kruisproef volledig -drie methoden-,"1,705",1.13 %
haemoglobine foto-electrisch - spoed,"1,676",1.12 %
ureum,"1,643",1.09 %
bloedgroep abo en rhesusfactor,"1,564",1.04 %
rhesusfactor d - centrifugeermethode - e,"1,564",1.04 %
screening antistoffen erytrocyten,"1,535",1.02 %
sgpt - alat kinetisch,"1,469",0.98 %
sgot - asat kinetisch,"1,468",0.98 %
albumine,"1,441",0.96 %
bacteriologisch onderzoek met kweek -nie,"1,426",0.95 %
alkalische fosfatase -kinetisch-,"1,329",0.88 %
gammaglutamyltranspeptidase,"1,321",0.88 %
telefonisch consult,"1,286",0.86 %
melkzuurdehydrogenase -ldh- kinetisch,"1,193",0.79 %
o2-saturatie,"1,187",0.79 %
bilirubine - totaal,"1,168",0.78 %
ca-125 mbv meia,"1,167",0.78 %
1e consult poliklinisch,"1,136",0.76 %
kalium vlamfotometrisch - spoed,"1,107",0.74 %
gefiltreerd erytrocytenconcentraat,"1,104",0.73 %
natrium - vlamfotometrisch - spoed,"1,100",0.73 %
leucocyten tellen -electronisch- spoed,"1,079",0.72 %
bicarbonaat,"1,077",0.72 %
trombocyten tellen - spoed,"1,062",0.71 %
actuele ph - pco2 - stand.bicarbonaat,"1,048",0.7 %
methemoglobine - sulfhemoglobine elk,965,0.64 %
co-hb kwn.,965,0.64 %
bilirubine -geconjugeerd,911,0.61 %
hematocriet mbv centrifuge,758,0.5 %
190204 klasse 3a        a204,753,0.5 %
crp c-reactief proteine,729,0.49 %
thorax,708,0.47 %
creatinine - spoed,645,0.43 %
ct abdomen,637,0.42 %
hepatitis-b surface antigeen confirmatie,632,0.42 %
dagverpleging - alle spec.beh.kind.-rev.,617,0.41 %
190035 dagverpleging    a007,614,0.41 %
calcium - spoed,592,0.39 %
glucose - spoed,554,0.37 %
urine onderzoek - kwalitatief,523,0.35 %
paclitaxel,498,0.33 %
resistentiebepalingen - 5 bepalingen,496,0.33 %
squamous cell carcinoma mbv eia,475,0.32 %
melkzuur enzymatisch - spoed,465,0.31 %
cea - tumormarker mbv meia,459,0.31 %
magnesium  -aas,455,0.3 %
melkzuur enzymatisch,423,0.28 %
chloride,378,0.25 %
microscopisch onderzoek - gekleurd en on,362,0.24 %
teletherapie - megavolt fotonen bestrali,357,0.24 %
histologisch onderzoek - grote resectiep,341,0.23 %
immunopathologisch onderzoek,335,0.22 %
mri abdomen,327,0.22 %
e.c.g.      - elektrocardiografie,319,0.21 %
sediment,299,0.2 %
histologisch onderzoek - biopten nno,294,0.2 %
fosfaat,282,0.19 %
cefalinetijd - coagulatie,281,0.19 %
protrombinetijd,258,0.17 %
dieet nno,255,0.17 %
coupe ter inzage,224,0.15 %
verlosk.-gynaec. korte kaart kosten-out,218,0.15 %
behandeltijd - eenheid t3 - megavolt,217,0.14 %
international normalised ratio mbv tromb,204,0.14 %
1e consult      bezoek,200,0.13 %
ct thorax,196,0.13 %
simulator - gebruik voor aanvang megavol,181,0.12 %
ureum - spoed,178,0.12 %
vagina      - toucher onder anesthesie,175,0.12 %
sgot asat kinetisch - spoed,167,0.11 %
infuus      - inbrengen,166,0.11 %
brachytherapie - interstitieel - intensi,153,0.1 %
sgpt alat kinetisch - spoed,153,0.1 %
verlosk.-gynaec.   jaarkaart kosten-out,151,0.1 %
echografie  - genitalia interna,149,0.1 %
bloedgroepantigenen andere dan abo-rhesu,148,0.1 %
cytologisch onderzoek - ascites -,147,0.1 %
cde fenotypering,140,0.09 %
bilirubine kwantitatief totaal of direct,139,0.09 %
buikoverzicht,136,0.09 %
cytologisch onderzoek - ectocervix -,125,0.08 %
alkalische fosfatase - kinetisch - spoed,123,0.08 %
amylase,123,0.08 %
sediment - spoed,122,0.08 %
heparinebepaling - kaoline - cefalinetij,120,0.08 %
histologisch onderzoek - kleine resectie,119,0.08 %
cito histologisch onderzoek,117,0.08 %
albumine - spoed,113,0.08 %
echo nieren-urinewegen,111,0.07 %
protrombinetijd -quick owren of modif.-,108,0.07 %
verlosk.-gynaec.  aanv.kaart kosten-out,97,0.06 %
gamma glutamyltranspeptidase - spoed,97,0.06 %
thorax - op zaal,95,0.06 %
melkzuur dehydrogenase - spoed,92,0.06 %
blaas       - uretrocystoscopie nno,89,0.06 %
hematocriet - spoed,88,0.06 %
anesthesie  - bij behandeling met radium,86,0.06 %
alfa-1-foetoproteine,82,0.05 %
totaal eiwit,80,0.05 %
differentiatie leukocyten - handmatig,80,0.05 %
behandelen  - in hyperpressietank,78,0.05 %
crp c-reactief proteine - spoed,72,0.05 %
afereseplasma gesplitst fq1 en fq2,70,0.05 %
cytologisch onderzoek - vagina -,69,0.05 %
uterus      - carc. cervix vlgs. werthei,67,0.04 %
bezinkingssnelheid foto-elektrisch,66,0.04 %
vriescoupe,64,0.04 %
inwend.geneesk.  korte kaart kosten-out,61,0.04 %
klinische kaart - anesthesie,60,0.04 %
mri bekken,57,0.04 %
klinische kaart - inwendige geneeskunde,55,0.04 %
chloride - spoed,54,0.04 %
echo bovenbuik,54,0.04 %
trombotest,51,0.03 %
magnesium  -aas - spoed,49,0.03 %
fosfaat - spoed,48,0.03 %
clostridium elisa-test,47,0.03 %
buik        - stageringslaparotom.-oment,45,0.03 %
interc.consult klinisch  anesthesie,43,0.03 %
urinezuur met uricase u.v. spectrofotome,43,0.03 %
cytologisch onderzoek - lymfeklierpuncti,43,0.03 %
behandeltijd - eenheid t1 - megavolt,43,0.03 %
maag - ontledig.-scint vast-vloeib.voeds,42,0.03 %
darm - colonpassage scint.comp.vervolg,42,0.03 %
tsh enzym-immunologisch,41,0.03 %
creatinefosfokinase -kinetisch-,41,0.03 %
mammografie thoraxwand,40,0.03 %
betasubunit bep. mbv. ria hcg,40,0.03 %
creatine fosfokinase isoenzym ckmb,36,0.02 %
patient niet verschenen radiologie,35,0.02 %
diagnostische punctie onder echocontrole,35,0.02 %
echografie  - blaas - extern,35,0.02 %
longfunctie - co2 - capnografie,35,0.02 %
kalium vlamfotometrisch,35,0.02 %
fsh enzym-immunologisch,35,0.02 %
fdp - dimeer - immunologisch,34,0.02 %
gemcitabine,34,0.02 %
lymfeklier - scint sentinel node dynamis,33,0.02 %
lymfeklier - scint sentinel node vervolg,33,0.02 %
lymfeklier - scint sentinel node met pro,33,0.02 %
lh mbv radioisotopen,33,0.02 %
behandeltijd - eenheid t4 - megavolt,32,0.02 %
uitsluiten irregulaire a.s. tegen erys d,32,0.02 %
inwend.geneesk.   aanv.kaart kosten-out,31,0.02 %
kreatinine fosfokinase - spoed,31,0.02 %
vulva       - vulvectomie - liesblok,31,0.02 %
ovarium     - redebulking ovarium carcin,31,0.02 %
punctie tbv cytologisch onderzoek door p,30,0.02 %
oestradiol mbv radioisotopen -ria,30,0.02 %
interc.consult klinisch  radiotherapie,29,0.02 %
vitamine b12 mbv chemieluminescentie,28,0.02 %
ct hersenen,28,0.02 %
ident. irregulaire a.s. tegen erys na po,28,0.02 %
eiwit -colorimetrisch- totaal,28,0.02 %
testosteron mbv radioisotopen,28,0.02 %
brain natriuretic peptide -bnp- mbv immu,28,0.02 %
bekken,27,0.02 %
ca-19.9 tumormarker,27,0.02 %
toegangschir- c.v.d.-katheter perifeer b,27,0.02 %
reticulocyten tellen mbv facscan,26,0.02 %
blaas       - cystoscopie met biopsie,26,0.02 %
uterus      - extirpatie - abdominaal me,26,0.02 %
intensive care ligdag - 1e tot en met 5e,26,0.02 %
duplexscan - venen been,26,0.02 %
echo abdomen,25,0.02 %
hyperthermie,25,0.02 %
ijzer,24,0.02 %
vulva       - ruime lokale excisie van a,24,0.02 %
ct bovenbuik,23,0.02 %
directe antiglobulinetest - coombs,23,0.02 %
haptoglobine,23,0.02 %
antistoffen tegen erys - specificiteit -,22,0.01 %
triglyceriden - enzymatisch,22,0.01 %
ca 15.3 - tumormarker mbv meia,22,0.01 %
transferrine mbv ics,21,0.01 %
tumor - petscan totale lichaam,21,0.01 %
ovarium     - debulking ovariumcarcinoom,21,0.01 %
vagina      - scopie incl.evt.vulvabiops,21,0.01 %
onderzoek van elders niet beoordeeld,21,0.01 %
cervix      - conisatie,21,0.01 %
ct a.pulmonalis,20,0.01 %
doxorubicine liposomal --caelyx--,20,0.01 %
skelet - scintigrafie totale lichaam,19,0.01 %
totaal eiwit colorimetrisch - spoed,19,0.01 %
vrij t4 mbv ria -ft 4,19,0.01 %
uterus      - hysteroscopie,19,0.01 %
vulva       - radicale vulvect. znd ingu,18,0.01 %
uterus      - extirpatie abdominaal radi,18,0.01 %
vrw.gesl.org- biopsie-punctie-cytologie,17,0.01 %
troponine-t mbv elisa,17,0.01 %
bekken - staand,16,0.01 %
pyelografie antegraad via drain,16,0.01 %
trombocyten - leuko verwijderd - 5 donor,16,0.01 %
nieren - renografie lasix,16,0.01 %
ct hals,16,0.01 %
echo been,16,0.01 %
cytologisch onderzoek - pleuravocht -,16,0.01 %
unknown,16,0.01 %
ferritine kwn mbv chemieluminescentie,15,0.01 %
vrw.gesl.org- curettage gefractioneerd,15,0.01 %
erytrocyten tellen - elektronisch,15,0.01 %
vrw.gesl.org- adnex-extirpatie dmv lapar,15,0.01 %
foliumzuur mbv radioisotopen,14,0.01 %
vulva       - rad.vulvectomie - opp.en d,14,0.01 %
alfa amylase - spoed,14,0.01 %
anti-hiv mbv elisa,14,0.01 %
fibrinogeen,14,0.01 %
buik        - stag.lap-tumorred.-omentec,13,0.01 %
buik        - proeflaparotomie,13,0.01 %
pijnbestrijd- aanleggen patient controll,13,0.01 %
blaas       - cystoscopie,13,0.01 %
echo hals --waaronder schildklier--,13,0.01 %
interc.consult klinisch  interne ziekten,13,0.01 %
ct totale lichaam,13,0.01 %
wervelkolom - lumbaal,12,0.01 %
mri wervelkolom - lumbaal,12,0.01 %
ligase chain reaction -lcr-,12,0.01 %
behandeltijd - eenheid t2 - megavolt,12,0.01 %
bloedgroepbep. anders dan abo per bloedg,12,0.01 %
osmolaliteit,12,0.01 %
arterie     - punctie tbv.verblijfsnaald,11,0.01 %
antitrombine iii mbv chromogeen-n-substr,11,0.01 %
cytologisch onderzoek - urine niercyste,11,0.01 %
klinische kaart - verloskunde en gynaeco,11,0.01 %
echo mamma,10,0.01 %
vulva       - biopsie-punctie-cytologie,10,0.01 %
verwisselen van nefrostomie drain,10,0.01 %
vulva       - vulvectomie zonder lieskli,10,0.01 %
pyelografie antegraad via punctie,10,0.01 %
lymf.syst.  - stageringslymfadenectomie,10,0.01 %
anti-hepatitis-c-virus mbv elisa,10,0.01 %
buik        - primaire stageringsoperati,9,0.01 %
eiwit beperkt - mineralen beperkt,9,0.01 %
190034 afwezigheidsdag  a006,9,0.01 %
echo onderbuik,9,0.01 %
ammoniak,9,0.01 %
interc.consult klinisch  neurologie,9,0.01 %
mec-a-bepaling voor mrsa mbv pcr,9,0.01 %
sex-hormone-binding globuline mbv ria,9,0.01 %
gentamycine kwn - immuno-assay,9,0.01 %
geb. antistoffen tegen erys - dir. coomb,9,0.01 %
anesthesie  - bij spec.onderz.en verr.ge,8,0.01 %
hemoglobine a1,8,0.01 %
heup,8,0.01 %
cervix      - lisexcisie portio - diathe,8,0.01 %
cytologisch onderzoek - diversen -,8,0.01 %
perif.vaten - duplexonderzoek - veneus,8,0.01 %
buik        - punctie ascites ontlastend,8,0.01 %
vrw.gesl.org- plastische operatie van vu,8,0.01 %
geb. antistoffen tegen erys - dir.coombs,8,0.01 %
interc.consult klinisch  longziekten,7,0 %
bekken - liggend,7,0 %
bovenbeen,7,0 %
natrium vlamfotometrisch - spoed,7,0 %
ct bekken,7,0 %
bot - densitometrie lwk,7,0 %
bot - densitometrie femurhals,7,0 %
uterus      - extirpatie abdominaal tota,7,0 %
colon inloop,7,0 %
mri grote hersenen,7,0 %
erytrocyten leukocyten verwijderd bestra,7,0 %
vagina      - biopsie-punctie-cytologie,7,0 %
buik        - stag.laparotom.-omentect.-,7,0 %
digoxine,7,0 %
cytologisch onderzoek - buiktumorpunctie,7,0 %
cytologisch onderzoek - leverpunctie -,7,0 %
buik        - laparoscopie - diagnostisc,7,0 %
ct art. en ven.pulmonales,6,0 %
lipase,6,0 %
cholesterol totaal,6,0 %
creatine fosfokinase mb - spoed,6,0 %
trombinetijd,6,0 %
inwend.geneesk.    jaarkaart kosten-out,6,0 %
schoudergewricht,6,0 %
vitamine b1 - thiamine,6,0 %
progesteron mbv radioisotopen,6,0 %
buikoverzicht - op zaal,6,0 %
echografie a vue ivw zwangerschap - met,6,0 %
rib-sternum,6,0 %
knie - m-z onderbeen,6,0 %
wisselen drain onder rontgencontrole,6,0 %
osmolaliteit - spoed,5,0 %
mri wervelkolom - thoracaal,5,0 %
vaten       - venapunctie,5,0 %
cholesterol hdl,5,0 %
analgesie   - epiduraal door anesthesist,5,0 %
pyelografie --wo niertransplantaat--,5,0 %
bovenarm,5,0 %
intensive care ligdag - 6e tot en met 14,5,0 %
dhea-sulfaat met extractie mbv ria,5,0 %
echografie-doppler venen been,5,0 %
peritoneum  - omentectomie,5,0 %
lymf.syst.  - sentinel node procedure li,5,0 %
cortisol immunofluorimetrisch,4,0 %
patient niet verschenen ngiv- no show -,4,0 %
uterus      - extirp.abd.rad. - lymfaden,4,0 %
toonaudiometrie - audiologisch centrum,4,0 %
hoogfrequente audiometrie - audiologisch,4,0 %
patienten kontakt audiologie korter dan,4,0 %
doorlichting zonder opname thorax,4,0 %
titratie directe antiglobulinetest - coo,4,0 %
vrw.gesl.org- exc.destruct.path.afwijkin,4,0 %
urinewegen  - urodynamisch onderzoek-vij,4,0 %
vitamine d3,4,0 %
onderzoek dunne darm m-z duodenum,4,0 %
wervelkolom - cervicaal,4,0 %
echogeleide als ass. bij punctie-biopsie,4,0 %
interc.consult klinisch  chirurgie,4,0 %
chloride -ionselectief-,4,0 %
parathormoon mbv radioisotopen,4,0 %
microalbumine immunonefelometrisch,4,0 %
prolactine mbv eia,4,0 %
beademing - anesthesie - tweede t-m vijf,4,0 %
elutie van auto-antistoffen tegen erytro,4,0 %
ct nier,4,0 %
hepatitis-b-anti-core igm,4,0 %
mycobacterium mbv pcr,4,0 %
cytologisch onderzoek - endocervix -,4,0 %
oestron mbv radioisotopen,4,0 %
echografie a vue ivm zwangerschap - rout,4,0 %
alfa-amylase,4,0 %
doorlichting zonder opname buik,4,0 %
nucleair onderzoek van elders,4,0 %
aspect supernatant,4,0 %
vrw.gesl.org- second-look-oper.ovariumca,4,0 %
190055 zware dagverpleging a009,3,0 %
ovarium     - adnex-extirpatie dmv lapar,3,0 %
blaas       - suprapubische katheter inb,3,0 %
dikke darm  - sigmoidoscopie met flexibe,3,0 %
zwangerschapsreactie - spoed,3,0 %
ethanol -enzymatisch of gaschromatografi,3,0 %
ammoniak - spoed,3,0 %
erytrocyten,3,0 %
klinisch tarief,3,0 %
totaal t4 - thyroxine immunofluorimetris,3,0 %
dikke darm  - appendectomie nno,3,0 %
vagina      - overige excisie pathologis,3,0 %
orthopantomogram 'panoramixopname' gebit,3,0 %
vitamine b6,3,0 %
vitamine e -hplc-methode,3,0 %
interc.consult vervolg klinisch  interne,3,0 %
cvvhd       --continue veno-veneuze hemo,3,0 %
echo tractus urogenitalis-bekken,3,0 %
aluminium,3,0 %
beademing - anesthesie - eerste dag,3,0 %
onderzoek via percutane veneuze katheter,3,0 %
ven. d.s.a. vena cava inferior,3,0 %
brachytherapie - interstitieel - bijzond,3,0 %
hepatitis-c-virus roche -hcvr- mbv pcr,3,0 %
vagina      - scopie excl.weefselwegname,3,0 %
interc.consult klinisch  urologie,3,0 %
darm - colonpassage scint.comp.statisch,3,0 %
onderz. naar aanwezigheid van koude anti,3,0 %
bloedgroepbepaling anders dan abo  kidd,3,0 %
antist.tegen hepatitis-b surface antigee,3,0 %
ct-gel. als ass. bij punctie - biopsie i,3,0 %
ureter - splintografie cq opspuiten uret,3,0 %
igg antistoffen tegen heparine-pf4-compl,3,0 %
anti-cytomegalovirus ig of igg -elisa,3,0 %
complementcomponent c3 kwn.,3,0 %
complementcomponent c4 kwn .,3,0 %
dna - farr-assay mbv ria,3,0 %
stollingsfactor - viii - activiteit,3,0 %
anticoagulans lupus mbv elisa,3,0 %
vancomycine kwn - immuno-assay,3,0 %
mictie-cysto-uretrografie,3,0 %
uterus      - extirpatie vaginaal totaal,3,0 %
doorlichting bij niersteenvergruizing,3,0 %
perif.vaten - verwijderen port-a-cath,3,0 %
erythrocyten tellen -electronisch- spoed,2,0 %
mri wervelkolom - cervicaal,2,0 %
cortisol,2,0 %
acth mbv radioisotopen,2,0 %
lithium,2,0 %
echo schouder - m-z bovenarm,2,0 %
hele bovenbeen met onderbeen en voet,2,0 %
microscopisch onderzoek  - elektronenmic,2,0 %
ct wervelkolom - lumbaal,2,0 %
mri heup,2,0 %
hart        - doppler echocardiografie 2,2,0 %
celkweek en isolatie,2,0 %
wervelkolom - thoracaal,2,0 %
wervelkolom - thoracolumbale overgang,2,0 %
cytologisch onderzoek - liquor cerebrosp,2,0 %
buffy coat,2,0 %
ct lever en galwegen,2,0 %
vitamine b2,2,0 %
vitamine a,2,0 %
