Activity,Frequency,Relative frequency
01_HOOFD_010-complete,"1,199",2.3 %
01_HOOFD_015-complete,"1,199",2.3 %
01_HOOFD_020-complete,"1,194",2.29 %
01_HOOFD_180-complete,"1,116",2.14 %
01_HOOFD_030_1-complete,"1,111",2.13 %
01_HOOFD_030_2-complete,"1,053",2.02 %
01_HOOFD_200-complete,974,1.87 %
09_AH_I_010-complete,933,1.79 %
01_HOOFD_375-complete,933,1.79 %
01_HOOFD_380-complete,930,1.78 %
01_HOOFD_490_1-complete,924,1.77 %
01_HOOFD_510_2-complete,903,1.73 %
01_HOOFD_510_1-complete,898,1.72 %
01_HOOFD_490_2-complete,868,1.66 %
01_HOOFD_480-complete,850,1.63 %
01_HOOFD_430-complete,846,1.62 %
01_HOOFD_101-complete,843,1.61 %
01_HOOFD_330-complete,841,1.61 %
04_BPT_005-complete,802,1.54 %
01_HOOFD_370-complete,801,1.53 %
01_HOOFD_011-complete,794,1.52 %
01_HOOFD_195-complete,791,1.51 %
02_DRZ_010-complete,786,1.51 %
08_AWB45_005-complete,753,1.44 %
01_HOOFD_495-complete,742,1.42 %
11_AH_II_010-complete,662,1.27 %
01_HOOFD_065_2-complete,654,1.25 %
01_HOOFD_065_1-complete,651,1.25 %
01_HOOFD_061-complete,596,1.14 %
01_HOOFD_500-complete,561,1.07 %
01_HOOFD_490_4-complete,554,1.06 %
01_HOOFD_491-complete,552,1.06 %
01_HOOFD_110-complete,539,1.03 %
01_HOOFD_120-complete,508,0.97 %
01_HOOFD_065_0-complete,503,0.96 %
01_HOOFD_510_3-complete,494,0.95 %
01_HOOFD_515-complete,494,0.95 %
05_EIND_010-complete,487,0.93 %
01_HOOFD_510_4-complete,481,0.92 %
01_HOOFD_050-complete,470,0.9 %
01_HOOFD_110_0-complete,464,0.89 %
01_HOOFD_250_2-complete,443,0.85 %
01_HOOFD_250_1-complete,442,0.85 %
01_HOOFD_490_5-complete,437,0.84 %
01_HOOFD_520-complete,412,0.79 %
01_HOOFD_100_0-complete,402,0.77 %
01_HOOFD_530-complete,401,0.77 %
01_HOOFD_490_1a-complete,398,0.76 %
06_VD_010-complete,397,0.76 %
01_HOOFD_510_0-complete,395,0.76 %
01_HOOFD_040-complete,393,0.75 %
01_HOOFD_250-complete,391,0.75 %
01_HOOFD_510_2a-complete,390,0.75 %
01_HOOFD_100-complete,388,0.74 %
01_HOOFD_260-complete,388,0.74 %
01_HOOFD_060-complete,381,0.73 %
13_CRD_010-complete,375,0.72 %
01_HOOFD_490_3-complete,364,0.7 %
01_HOOFD_494a-complete,357,0.68 %
01_HOOFD_490_5a-complete,355,0.68 %
01_HOOFD_196-complete,322,0.62 %
08_AWB45_010-complete,307,0.59 %
08_AWB45_020_1-complete,294,0.56 %
08_AWB45_020_2-complete,288,0.55 %
08_AWB45_030-complete,285,0.55 %
01_HOOFD_130-complete,275,0.53 %
