Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101
Variant 1,8,6,"3 days, 22 hours",341847500,"4 days, 14 hours",397787750,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 2,6,7,"11 days, 1 hour",956905500,"50 days, 15 hours",4377571666,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 3,4,13,"3 days, 10 hours",298152500,"3 days, 13 hours",308833750,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_100_0-complete,01_HOOFD_015-complete,01_HOOFD_101-complete,01_HOOFD_061-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 4,3,12,"4 days, 11 hours",386282000,"4 days, 12 hours",390759000,01_HOOFD_010-complete,01_HOOFD_011-complete,05_EIND_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_101-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 5,3,5,"7 days, 12 hours",649174000,"8 days, 4 hours",706612000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 6,2,13,"7 days, 6 secs",604806500,"7 days, 6 secs",604806500,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_100_0-complete,01_HOOFD_030_1-complete,01_HOOFD_061-complete,01_HOOFD_101-complete,01_HOOFD_015-complete,01_HOOFD_030_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 7,2,13,"3 days, 53 mins",262411500,"3 days, 53 mins",262411500,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_100_0-complete,01_HOOFD_101-complete,01_HOOFD_061-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,01_HOOFD_030_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 8,2,13,"4 days, 10 hours",381651500,"4 days, 10 hours",381651500,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_100_0-complete,01_HOOFD_101-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,01_HOOFD_061-complete,01_HOOFD_030_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 9,2,3,"9 days, 12 hours",820800000,"9 days, 12 hours",820800000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_015-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 10,2,4,"8 days, 9 hours",725815000,"8 days, 9 hours",725815000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
