Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5
Variant 1,16365,4,"30 days, 15 hours",2646727534,"25 days, 10 hours",2196310931,O_Create Offer,O_Created,O_Sent (mail and online),O_Cancelled,
Variant 2,16299,5,"12 days, 19 hours",1107599318,"15 days, 1 hour",1303027702,O_Create Offer,O_Created,O_Sent (mail and online),O_Returned,O_Accepted
Variant 3,3532,5,"12 days, 18 hours",1103071701,"14 days, 11 hours",1251268850,O_Create Offer,O_Created,O_Sent (mail and online),O_Returned,O_Refused
Variant 4,2393,5,"19 days, 18 hours",1708418437,"24 days, 16 hours",2132881698,O_Create Offer,O_Created,O_Sent (mail and online),O_Returned,O_Cancelled
Variant 5,1203,3,"4 mins, 33 secs",273661,"5 days, 4 hours",449543733,O_Create Offer,O_Created,O_Cancelled,,
Variant 6,962,4,"13 days, 14 hours",1175603628,"16 days, 4 hours",1399387743,O_Create Offer,O_Created,O_Sent (mail and online),O_Refused,
Variant 7,929,5,"4 days, 2 hours",355218516,"6 days, 10 hours",556394635,O_Create Offer,O_Created,O_Sent (online only),O_Returned,O_Accepted
Variant 8,875,4,"13 days, 19 hours",1192430455,"17 days, 22 hours",1549867846,O_Create Offer,O_Created,O_Sent (online only),O_Cancelled,
Variant 9,108,3,"24 secs, 519 millis",24519,"1 min, 24 secs",84931,O_Create Offer,O_Created,O_Sent (mail and online),,
Variant 10,101,4,"8 days, 5 hours",710429305,"13 days, 16 hours",1183314826,O_Create Offer,O_Created,O_Sent (online only),O_Refused,
Variant 11,62,5,"12 days, 2 hours",1046935379,"18 days, 20 hours",1628414615,O_Create Offer,O_Created,O_Sent (online only),O_Returned,O_Cancelled
Variant 12,59,3,"2 days, 7 hours",198770496,"6 days, 10 hours",555023975,O_Create Offer,O_Created,O_Refused,,
Variant 13,48,4,"13 days, 13 hours",1171978002,"14 days, 8 hours",1238924284,O_Create Offer,O_Created,O_Sent (mail and online),O_Returned,
Variant 14,41,5,"5 days, 22 hours",511584529,"8 days, 2 hours",701206310,O_Create Offer,O_Created,O_Sent (online only),O_Returned,O_Refused
Variant 15,17,3,"15 secs, 171 millis",15171,"44 secs, 956 millis",44956,O_Create Offer,O_Created,O_Sent (online only),,
Variant 16,1,4,"5 hours, 47 mins",20874013,"5 hours, 47 mins",20874013,O_Create Offer,O_Created,O_Sent (online only),O_Returned,
