Case ID,Events,Variant,Variant index,Started,Finished,Duration,Duration (milliseconds)
2,3,Variant 1,1,03.04.2012 16:55:38,05.04.2012 17:15:52,"2 days, 20 mins",174014000
3,3,Variant 1,1,29.10.2010 18:14:06,04.11.2010 01:21:17,"5 days, 7 hours",457631000
4,3,Variant 1,1,15.12.2010 23:31:53,16.12.2010 17:08:19,"17 hours, 36 mins",63386000
5,5,Variant 9,9,03.04.2012 21:08:32,04.04.2012 00:07:28,"2 hours, 58 mins",10736000
6,3,Variant 1,1,25.10.2011 23:13:58,26.10.2011 17:54:46,"18 hours, 40 mins",67248000
8,3,Variant 1,1,05.07.2012 16:30:32,05.07.2012 17:44:46,"1 hour, 14 mins",4454000
9,4,Variant 7,7,07.05.2010 21:02:21,25.05.2010 23:35:44,"18 days, 2 hours",1564403000
10,3,Variant 1,1,10.02.2010 17:50:20,19.03.2010 17:47:13,"36 days, 23 hours",3196613000
11,3,Variant 1,1,22.12.2011 00:24:41,22.12.2011 18:55:43,"18 hours, 31 mins",66662000
14,3,Variant 1,1,05.07.2011 21:47:08,05.07.2011 21:52:37,"5 mins, 29 secs",329000
16,4,Variant 12,12,22.02.2012 23:16:52,23.02.2012 18:47:38,"19 hours, 30 mins",70246000
17,3,Variant 1,1,14.10.2011 15:10:47,09.11.2011 22:31:37,"26 days, 7 hours",2272850000
19,3,Variant 1,1,07.07.2010 15:54:04,09.07.2010 18:11:18,"2 days, 2 hours",181034000
21,3,Variant 1,1,15.01.2011 00:15:21,27.01.2011 19:19:15,"12 days, 19 hours",1105434000
22,4,Variant 2,2,23.07.2012 15:49:04,27.08.2012 18:05:23,"35 days, 2 hours",3032179000
24,3,Variant 1,1,27.04.2010 17:49:56,08.06.2010 22:46:16,"42 days, 4 hours",3646580000
25,3,Variant 1,1,30.12.2010 18:27:17,31.12.2010 00:16:35,"5 hours, 49 mins",20958000
26,5,Variant 3,3,31.03.2011 15:28:47,31.03.2011 19:00:41,"3 hours, 31 mins",12714000
27,3,Variant 1,1,24.11.2011 23:02:16,12.12.2011 18:04:47,"17 days, 19 hours",1537351000
29,3,Variant 1,1,30.07.2012 18:07:32,30.07.2012 20:29:40,"2 hours, 22 mins",8528000
30,3,Variant 1,1,21.01.2011 18:47:20,10.02.2011 18:01:20,"19 days, 23 hours",1725240000
32,3,Variant 1,1,27.04.2011 15:38:44,28.04.2011 16:18:08,"1 day, 39 mins",88764000
35,2,Variant 5,5,18.01.2012 17:15:30,18.01.2012 18:46:37,"1 hour, 31 mins",5467000
36,3,Variant 1,1,29.06.2011 18:06:48,05.07.2011 15:32:43,"5 days, 21 hours",509155000
37,8,Variant 68,68,10.02.2011 20:13:07,04.03.2011 18:37:55,"21 days, 22 hours",1895088000
38,3,Variant 1,1,20.03.2012 16:57:45,20.03.2012 17:18:56,"21 mins, 11 secs",1271000
40,3,Variant 1,1,09.08.2012 20:13:03,09.08.2012 20:46:00,"32 mins, 57 secs",1977000
41,3,Variant 1,1,14.12.2010 19:44:26,14.12.2010 19:45:12,46 secs,46000
42,3,Variant 1,1,16.06.2011 20:23:39,16.06.2011 21:39:51,"1 hour, 16 mins",4572000
43,3,Variant 1,1,10.04.2012 16:56:32,10.04.2012 18:53:28,"1 hour, 56 mins",7016000
44,3,Variant 1,1,30.11.2010 01:09:19,30.11.2010 01:20:51,"11 mins, 32 secs",692000
45,3,Variant 1,1,20.01.2012 23:08:14,02.03.2012 19:40:59,"41 days, 20 hours",3616365000
47,3,Variant 1,1,25.05.2011 17:48:18,30.05.2011 23:04:34,"5 days, 5 hours",450976000
48,4,Variant 7,7,01.12.2010 22:42:59,02.12.2010 23:08:33,"1 day, 25 mins",87934000
49,4,Variant 2,2,25.11.2011 23:33:54,03.12.2011 01:25:57,"7 days, 1 hour",611523000
50,4,Variant 6,6,16.01.2012 19:53:01,17.01.2012 01:37:55,"5 hours, 44 mins",20694000
51,4,Variant 2,2,13.06.2012 21:55:36,02.07.2012 17:41:04,"18 days, 19 hours",1626328000
52,3,Variant 1,1,26.07.2012 23:18:26,27.07.2012 18:46:28,"19 hours, 28 mins",70082000
53,6,Variant 13,13,14.10.2010 21:53:13,04.11.2010 17:48:12,"20 days, 19 hours",1799699000
55,4,Variant 2,2,26.10.2011 23:51:42,21.11.2011 17:21:23,"25 days, 17 hours",2222981000
56,2,Variant 5,5,30.01.2012 20:32:58,30.01.2012 20:33:23,25 secs,25000
57,3,Variant 1,1,29.10.2010 17:39:23,03.11.2010 00:39:05,"4 days, 6 hours",370782000
59,4,Variant 6,6,28.03.2012 20:28:37,28.03.2012 23:32:57,"3 hours, 4 mins",11060000
60,5,Variant 3,3,06.04.2011 23:35:49,13.04.2011 16:49:22,"6 days, 17 hours",580413000
61,3,Variant 1,1,16.09.2011 15:04:39,16.09.2011 23:04:46,"8 hours, 7 secs",28807000
62,2,Variant 5,5,28.05.2012 23:16:47,28.05.2012 23:18:27,"1 min, 40 secs",100000
64,7,Variant 69,69,14.04.2011 23:54:28,06.05.2011 17:42:28,"21 days, 17 hours",1878480000
66,3,Variant 1,1,26.06.2012 16:46:53,26.06.2012 21:05:58,"4 hours, 19 mins",15545000
67,3,Variant 1,1,31.12.2010 00:03:15,13.01.2011 20:45:18,"13 days, 20 hours",1197723000
68,3,Variant 1,1,11.04.2012 22:09:22,12.04.2012 18:31:37,"20 hours, 22 mins",73335000
70,4,Variant 2,2,07.06.2011 15:34:53,12.07.2011 15:00:36,"34 days, 23 hours",3021943000
71,3,Variant 1,1,02.11.2011 17:20:14,02.11.2011 18:49:41,"1 hour, 29 mins",5367000
72,3,Variant 1,1,25.01.2011 22:15:31,14.02.2011 20:48:42,"19 days, 22 hours",1722791000
73,2,Variant 5,5,31.07.2012 19:01:15,31.07.2012 19:02:02,47 secs,47000
74,1,Variant 70,70,10.02.2012 20:42:26,10.02.2012 20:42:26,0 millis,0
75,4,Variant 4,4,12.03.2010 00:15:54,23.04.2010 15:45:04,"42 days, 15 hours",3684550000
76,2,Variant 5,5,11.01.2012 00:01:36,11.01.2012 00:58:08,"56 mins, 32 secs",3392000
